quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
1,2010,,0.015,,,846,3457,0.027,0.301,0.005,1.801,,0.054,0.16,0.426,0.445,0.338,0.649,0.685,0.002,0.561,0.435,0.423,0.1,0.039,18.5,0.519,17.5,0.001,-0.074,2010-01-01,ACB
4,2009,,0.015,,,814,3735,0.026,0.416,,,,0.059,0.162,0.378,0.468,0.362,0.705,0.665,,0.79,0.48,0.477,0.1,-0.136,17.1,0.489,16.1,0.0,0.024,2009-10-01,ACB
3,2009,,0.018,,,943,3646,0.054,0.376,,,,0.058,0.159,0.362,0.473,0.365,0.612,0.773,,0.684,0.493,0.423,0.1,0.084,17.2,0.465,16.2,0.0,0.3,2009-07-01,ACB
2,2009,,0.02,,,869,2805,0.088,0.47,0.005,1.581,,0.058,0.148,0.318,0.464,0.394,0.565,0.822,0.002,0.211,0.538,0.495,0.1,0.108,17.1,0.548,16.1,0.0,0.006,2009-04-01,ACB
1,2009,0.299,0.018,,,784,2787,0.117,0.471,0.009,1.054,,0.055,0.201,0.425,0.43,0.274,0.501,0.859,0.003,-0.08,0.438,0.361,0.1,-0.039,18.1,0.44,17.1,0.0,-0.029,2009-01-01,ACB
4,2008,,0.022,,,816,2872,0.13,0.0,,,,0.068,0.223,0.7,0.409,0.305,0.574,0.712,,0.108,0.26,0.26,0.1,0.243,14.7,0.576,13.7,-0.001,0.056,2008-10-01,ACB
3,2008,,0.02,,,656,2718,0.099,0.0,,,,0.066,0.2,0.891,0.425,0.332,0.574,0.741,,0.454,0.093,0.093,0.1,-0.04,15.1,0.563,14.1,-0.001,0.044,2008-07-01,ACB
2,2008,,0.023,,,684,2605,0.067,0.0,,,,0.068,0.167,0.805,0.53,0.41,0.694,0.764,,2.405,0.169,0.169,0.1,0.011,14.6,0.509,13.6,-0.005,0.056,2008-04-01,ACB
1,2008,,0.024,,,677,2466,0.029,0.353,0.001,5.957,,0.067,0.164,0.318,0.457,0.409,0.657,0.695,0.0,3.244,0.583,0.51,0.1,0.045,14.9,0.582,13.9,-0.004,-0.16,2008-01-01,ACB
4,2007,,0.027,,,647,2936,0.028,0.587,,,,0.091,0.252,0.271,0.424,0.361,0.563,0.753,,2.567,0.687,0.652,0.1,0.294,11.0,0.619,10.0,-0.003,0.746,2007-10-01,ACB
